Kraj,Trida,Sesk,Podsesk,Pol,Para,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2024 VKT
Hlavní město Praha,Běžné výdaje,50,502,5021,3421,737609.0,746238.0,976423.0,1025152.0,1049519.0,848036.0,772598.0,903608.0,836750.0,1182469.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3429,78000.0,482762.0,563711.0,660010.0,661208.0,592800.0,1242115.22,2775429.7,1595884.0,1171461.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3539,163131.0,179164.0,83910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3541,167600.0,114570.0,150400.0,166791.0,211349.0,35100.0,201160.0,172016.0,205920.0,233425.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3544,0.0,6250.0,18750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3549,0.0,5410.0,1882.0,25622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3599,0.0,9000.0,21020.0,64800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3612,27750.0,18000.0,16500.0,154234.0,29157.0,21000.0,12875.0,2600.0,0.0,18000.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3613,12000.0,12000.0,12000.0,12000.0,12000.0,13050.0,12000.0,12000.0,12000.0,16000.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3632,321530.0,257641.0,275175.0,574275.0,591790.0,519897.0,286882.0,478365.0,364192.0,365091.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3635,0.0,0.0,0.0,2500001.19,100290.0,281160.0,66250.0,0.0,0.0,3000.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3636,100000.0,199900.0,857945.0,0.0,0.0,392204.0,408198.0,389710.0,98180.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3639,1133035.0,1351923.0,1562582.0,1577872.0,1660143.0,1535394.0,763630.0,897300.0,941003.0,796953.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3699,0.0,0.0,280255.0,409020.0,136660.0,0.0,0.0,0.0,63000.0,240870.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3719,0.0,0.0,364101.0,682108.0,341800.0,48233.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3722,68220.0,109940.0,109200.0,161345.0,203696.0,198053.0,248285.0,459653.0,428399.0,441292.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118821.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3742,0.0,14400.0,68580.0,75600.0,79200.0,81600.0,86400.0,95040.0,95040.0,102048.0,0.0,0.0
